Year,SongTitle,IntroLength,SongLength,Ranking50,Genre,Language,Ranking
2018,God's Plan,11,199,0,Hiphop,English,1
2018,Perfect,2,263,0,Pop,English,2
2018,Meant to Be (feat. Florida Georgia Line),5,164,0,Country,English,3
2018,Havana(feat. Young Thung),8,217,0,LatinPop,English,4
2018,rockstar (feat. 21 Savage),13,218,0,Hiphop,English,5
2018,Psycho (feat. Ty Dolla $ign),12,221,0,Hiphop,English,6
2018,I Like It,13,253,0,LatinPop,"English, Spanish",7
2018,The Middle,1,185,0,Pop,English,8
2018,In My Feelings,11,218,0,Hiphop,English,9
2018,Girls Like you (feat. Cardi B),7,236,0,Pop,English,10
2018,Nice For What,35,211,0,Hiphop,English,11
2018,Lucid Dreams,22,240,0,Hiphop,English,12
2018,Better Now,12,231,0,Hiphop,English,13
2018,Finesse - Remix,4,217,0,RnB/Soul,English,14
2018,Boo'd Up,11,256,0,RnB/Soul,English,15
2018,New Rules,8,209,0,Pop,English,16
2018,SAD!,25,167,0,Hiphop,English,17
2018,Never Be the Same,14,227,0,Pop,English,18
2018,Love Lies (with Normani),13,202,0,RnB/Soul,English,19
2018,no tears left to cry,1,206,0,Pop,English,20
2018,Mine,13,131,0,Pop,English,21
2018,Thunder,0,187,0,Pop,English,22
2018,Look Alive (feat. Drake),13,181,0,Hiphop,English,23
2018,Delicate,20,232,0,Pop,English,24
2018,Yes Indeed,4,142,0,Hiphop,English,25
2018,FRIENDS,9,203,0,Pop,English,26
2018,Bad At Love,11,181,0,Pop,English,27
2018,Taste (feat. Offset),10,233,0,Hiphop,English,28
2018,Let You Down,26,212,0,Hiphop,English,29
2018,No Limit,10,245,0,Hiphop,English,30
2018,FEFE (feat. Nicki Minaj & Murda Beatz),15,179,0,Hiphop,English,31
2018,Tequila,4,196,0,Pop,English,32
2018,Feel It Still,10,163,0,Pop,English,33
2018,MotorSport,6,303,0,Hiphop,English,34
2018,I Like Me Better,7,197,0,Pop,English,35
2018,Youngblood,1,203,0,Pop,English,36
2018,Whatever It Takes,13,201,0,Pop,English,37
2018,Ric Flair Drip (feat. Metro Boomin),18,173,0,Hiphop,English,38
2018,I Fall Apart,16,223,0,Pop,English,39
2018,Pray For Me (with Kendrick Lamar),13,211,0,Hiphop,English,40
2018,Back To You,9,210,0,Pop,English,41
2018,SICKO MODE,26,313,0,Hiphop,English,42
2018,Walk It Talk It,12,276,0,Hiphop,English,43
2018,Gucci Gang,15,124,0,Hiphop,English,44
2018,Him & I (with Halsey),0,269,0,Hiphop,English,45
2018,In My Blood,0,211,0,Pop,English,46
2018,All The Stars (with SZA),19,232,0,Hiphop,English,47
2018,Stir Fry,5,190,0,Hiphop,English,48
2018,Too Good At Goodbyes,1,201,0,Pop,English,49
2018,LOVE. FEAT. ZACARI.,6,213,0,Hiphop,English,50
2018,This Is America,16,226,1,Hiphop,English,51
2018,Nonstop,12,239,1,Hiphop,English,52
2018,Heaven,12,180,1,Country,English,53
2018,Bodak Yellow,14,224,1,Hiphop,English,54
2018,Freaky Friday,10,217,1,Hiphop,English,55
2018,GUMMO,23,158,1,Hiphop,English,56
2018,Plug Walk,19,175,1,Hiphop,English,57
2018,Wait,8,191,1,Pop,English,58
2018,Be Careful,12,211,1,Hiphop,English,59
2018,Wolves,8,198,1,Pop,English,60
2018,Bartier Cardi (feat. 21 Savage),13,224,1,Hiphop,English,61
2018,God is a woman,1,198,1,Pop,English,62
2018,BIG BANK,0,237,1,Hiphop,English,63
2018,Sorry Not Sorry,7,204,1,Pop,English,64
2018,How Long,10,201,1,Pop,English,65
2018,Lights Down Low,12,224,1,Pop,English,66
2018,Young Dumb & Broke,6,203,1,RnB/Soul,English,67
2018,One Kiss (with Dua Lipa),22,215,1,Pop,English,68
2018,Natural,9,189,1,Pop,English,69
2018,You Make It Easy,2,193,1,Country,English,70
2018,Shape of You,9,234,1,Pop,English,71
2018,I Get the Bag (feat. Migos),13,233,1,Hiphop,English,72
2018,No Brainer,8,260,1,Pop,English,73
2018,Plain Jane REMIX (feat. Nicki Minaj),10,203,1,Hiphop,English,74
2018,Sky Walker (feat. Travis Scott),12,259,1,Hiphop,English,75
2018,Marry Me,8,205,1,Country,English,76
2018,Eastside (with Halsey & Khalid),10,174,1,Pop,English,77
2018,Call Out My Name,8,228,1,RnB/Soul,English,78
2018,King's Dead (with Kendrick Lamar),1,230,1,Hiphop,English,79
2018,Happier,0,214,1,Pop,English,80
2018,Te Bote - Remix,9,418,1,LatinPop,Spanish,81
2018,Simple,9,185,1,Country,English,82
2018,Lemon,2,220,1,Hiphop,English,83
2018,1-800-273-8255,19,250,1,Hiphop,English,84
2018,Say Something (feat. Chris Stapleton),38,279,1,Country,English,85
2018,I'm Upset,11,214,1,Hiphop,English,86
2018,Get Along,9,200,1,Country,English,87
2018,Moonlight,13,135,1,Hiphop,English,88
2018,What Lovers Do (feat. SZA),8,200,1,Pop,English,89
2018,X,2,174,1,LatinPop,Spanish,90
2018,Outside Today,12,129,1,Hiphop,English,91
2018,Trip,10,214,1,RnB/Soul,English,92
2018,Dura,11,200,1,LatinPop,English,93
2018,changes,12,122,1,Pop,English,94
2018,Mercy,13,217,1,Country,English,95
2018,One Number Away,14,222,1,Country,English,96
2018,Powerglide (feat. Juicy J),21,332,1,Hiphop,English,97
2018,IDGAF,4,218,1,Pop,English,98
2018,Mi Gente (feat. Beyonce),8,210,1,Hiphop,English,99
2018,Believer,7,204,1,Pop,English,100
2019,Old Town Road (feat. Billy Ray Cyrus),12,157,0,Hiphop,English,1
2019,Sunflower,26,158,0,Hiphop,English,2
2019,Without Me,13,202,0,Pop,English,3
2019,bad guy,13,194,0,Pop,English,4
2019,Wow.,8,150,0,Hiphop,English,5
2019,Happier,0,214,0,Pop,English,6
2019,7 rings,13,179,0,Pop,English,7
2019,Talk (feat. Disclosure),27,198,0,RnB/Soul,English,8
2019,SICKO MODE,27,313,0,Hiphop,English,9
2019,Sucker,0,181,0,Pop,English,10
2019,High Hopes,10,191,0,Pop,English,11
2019,"thank u, next",7,207,0,RnB/Soul,English,12
2019,Truth Hurts,5,173,0,Pop,English,13
2019,Dancing With A Stranger,7,171,0,Pop,English,14
2019,Senorita,14,191,0,LatinPop,English,15
2019,I Don't Care,4,220,0,Pop,English,16
2019,"Eastside (with Halsey, Benny Blanco)",9,174,0,Pop,English,17
2019,Going Bad (feat. Drake),10,181,0,Hiphop,English,18
2019,Shallow,14,216,0,Pop,English,19
2019,Better,18,229,0,RnB/Soul,English,20
2019,No Guidance (feat. Drake),11,261,0,Hiphop,English,21
